long_name,search_name
Kerr - Sulphurets - Mitchell (KSM) Gold/Copper,Kerr  Sulphurets  Mitchell 
Galore Creek Gold/Silver/ Copper Mine,Galore Creek
Fording River Extension Project (Castle),Fording River
Baptiste Nickel Project,Baptiste nickel
Schaft Creek Porphyry Copper-Gold Mine,Schaft Creek 
Red Chris Mine Expansion,Red Chris
Turnagain Nickel Project Expansion,Turnagain 
Yellowhead Copper Project,Yellowhead mine
Highland Valley Copper Mine Life Extension,Highland Valley 
Avanti Kitsault Mine Project,Avanti Kitsault
Cariboo Gold Project,Cariboo Gold 
Aley Project,Aley 
Quintette Coal Mine,Quintette 
Eskay Creek Mine Revitalization,Eskay Creek 
Crown Mountain Coking Coal Project,Crown Mountain
Kutcho Mine Project,Kutcho
Mount Milligan Mine Extension,Mount Milligan 
New Polaris Gold Mine,New Polaris
Blackwater Gold,Blackwater 
Blackwater Gold Phase 2 & 3,Blackwater 
Tenas Coal Project,Tenas 
Red Mountain Underground Gold Project,Red Mountain mine
Copper Mountain Mine New Ingerbelle Extension Project,Copper Mountain Mine
Michel Creek Coking Coal Project,Michel Creek 
Mount Polley Copper/Gold Mine Springer Expansion,Mount Polley 
Berg Copper-Molybdenum-Silver Mine,Berg Mine
Gibraltar (Expansion),Gibraltar mine
Dome Mountain,Dome Mountain
Kwanika,Kwanika
Wicheeda,Wicheeda
Ootsa,Ootsa
North Island,northisle mine 
North Coast Transmission Line Phase 1 and 2,North Coast Transmission
Cedar LNG,Cedar LNG
Aspen Point Program,Aspen Point 
Brewster Wind Farm,Brewster Wind
Stewart Creek Wind Project,Stewart Creek
Highland Valley Wind Farm,Highland Valley
Nithi Mountain Wind Project,Nithi Mountain
Taylor Wind Project,Taylor Wind 
Mount Mabel Wind Project,Mount Mabel
K2 Wind Project,K2 wind
NilhtsI Ecoener Project,NilhtsI Ecoener 
Northeast British Columbia (NEBC) Connector,Northeast British Columbia Connector
ShTSaQU Solar Project,ShTSaQU 
Boulder and Elkhart Wind Project,Boulder and Elkhart
Roberts Bank Container Expansion Program Terminal 2,Roberts Bank Container 
Ksi Lisims LNG,Ksi Lisims LNG
LNG Canada Phase 2,LNG Canada 
